Facing,Square Feet,BHK Apartment,Price,Furnish Status,Deposit Status,Bathroom Count,Location,Amenities
null,888,2 BHK Apartment,57000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mulund West, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Club House, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,750,2 BHK Apartment,54000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mulund West, Mumbai","Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Golf Course, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens"
null,1350,3 BHK Apartment,73000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Sports Facility, ATM, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Maintenance Staff, Children's play area, Intercom, Club House, Swimming Pool, Staff Quarter, Rain Water Harvesting, Golf Course, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,1111,2 BHK Apartment,60000 ,Semi-Furnished,No Deposit,2 bathrooms,"Kanjurmarg, Mumbai","Indoor Games, School, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Cafeteria, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,999,2 BHK Apartment,52000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mulund West, Mumbai","Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Golf Course, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Cafeteria, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens"
null,1020,3 BHK Apartment,71000 ,Semi-Furnished,No Deposit,3 bathrooms,"Bhandup West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1450,3 BHK Apartment,80000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Indoor Games, Children's play area, Multipurpose Room, Rain Water Harvesting, Cafeteria, Jogging Track, Club House, Car Parking, Gymnasium, 24 X 7 Security, Sports Facility"
null,1020,3 BHK Apartment,70000 ,Semi-Furnished,No Deposit,3 bathrooms,"Bhandup West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,999,2 BHK Apartment,52000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mulund West, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Indoor Games, Children's play area, Multipurpose Room, Rain Water Harvesting, Cafeteria, Jogging Track, Club House, Car Parking, Gymnasium, 24 X 7 Security, Sports Facility"
NorthEast facing,1050,2 BHK Apartment,17000 ,Semi-Furnished,No Deposit,2 bathrooms,"Dombivali, Mumbai","Jogging Track, Gymnasium, Car Parking, Children's play area, Full Power Backup, Club House, Lift(s), Swimming Pool, Sports Facility, 24 X 7 Security, Landscaped Gardens"
NorthEast facing,1050,2 BHK Apartment,18000 ,Semi-Furnished,No Deposit,2 bathrooms,"Dombivali, Mumbai","Gymnasium, Lift(s), Intercom, Jogging Track, Full Power Backup, 24 X 7 Security, Children's play area, Club House, Swimming Pool, Sports Facility, Landscaped Gardens"
null,1111,2 BHK Apartment,62000 ,Semi-Furnished,No Deposit,2 bathrooms,"Kanjurmarg, Mumbai","Indoor Games, School, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Cafeteria, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,1200,2 BHK Apartment,80000 ,Semi-Furnished,No Deposit,2 bathrooms,"Kanjurmarg, Mumbai","Indoor Games, School, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Cafeteria, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,1450,3 BHK Apartment,90000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1050,2 BHK Apartment,120000 ,Furnished,4 L deposit,2 bathrooms,"Powai, Mumbai","Gymnasium, Landscaped Gardens, Swimming Pool, Lift(s), Full Power Backup, Rain Water Harvesting, Intercom, Jogging Track, 24 X 7 Security, Car Parking, Club House, Children's play area, Sports Facility"
null,1450,3 BHK Apartment,76000 ,Semi-Furnished,3 L deposit,3 bathrooms,"Kanjurmarg, Mumbai","Indoor Games, School, Jogging Track, Lift(s), Maintenance Staff, Full Power Backup, Intercom, Children's play area, Cafeteria, Club House, Swimming Pool, Landscaped Gardens, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,600,1 BHK Apartment,45000 ,Furnished,No Deposit,1 bathrooms,"Andheri East, Mumbai","Gymnasium, Lift(s), Swimming Pool, Full Power Backup, Staff Quarter, Rain Water Harvesting, Intercom, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Club House, Sports Facility, Children's play area, Landscaped Gardens"
East facing,1000,2 BHK Apartment,30000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Club House, Lift(s), Sports Facility, Swimming Pool, Gymnasium, Car Parking, Children's play area, Full Power Backup, 24 X 7 Security, Jogging Track, Landscaped Gardens"
NorthEast facing,950,2 BHK Apartment,16000 ,Unfurnished,No Deposit,2 bathrooms,"Dombivali, Mumbai","Club House, Lift(s), Gymnasium, Full Power Backup, Rain Water Harvesting, Jogging Track, 24 X 7 Security, Car Parking, Vaastu Compliant, Children's play area, Swimming Pool, Sports Facility, Landscaped Gardens"
null,800,2 BHK Apartment,75000 ,Furnished,No Deposit,2 bathrooms,"Andheri West, Mumbai","Intercom, Car Parking, Vaastu Compliant, 24 X 7 Security, Lift(s), Full Power Backup, Landscaped Gardens, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Children's play area, Club House"
null,987,2 BHK Apartment,80000 ,Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Golf Course, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,600,1 BHK Apartment,59000 ,Semi-Furnished,No Deposit,1 bathrooms,"Powai, Mumbai","Landscaped Gardens, Swimming Pool, Gymnasium, Club House, Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Sports Facility, Jogging Track"
null,910,2 BHK Apartment,63000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Hospital, School, Shopping Mall, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens, Sports Facility"
null,1250,2 BHK Apartment,83000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Golf Course, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,2100,3 BHK Apartment,140000 ,Semi-Furnished,No Deposit,3 bathrooms,"Powai, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,2200,4 BHK Apartment,275000 ,Semi-Furnished,No Deposit,4 bathrooms,"Powai, Mumbai","Gymnasium, ATM, Lift(s), Sports Facility, Swimming Pool, Car Parking, Full Power Backup, 24 X 7 Security, Children's play area, Club House, Jogging Track, Landscaped Gardens"
null,1450,3 BHK Apartment,76000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1350,3 BHK Apartment,67000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1450,3 BHK Apartment,70000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,600,1 BHK Apartment,55000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Rain Water Harvesting, Full Power Backup, Lift(s), Children's play area, Club House, Landscaped Gardens, Swimming Pool, Sports Facility, Jogging Track, 24 X 7 Security, Gymnasium"
null,987,2 BHK Apartment,68000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,1550,3 BHK Apartment,95000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,987,2 BHK Apartment,80000 ,Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Golf Course, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,600,1 BHK Apartment,59000 ,Semi-Furnished,No Deposit,1 bathrooms,"Powai, Mumbai","Landscaped Gardens, Swimming Pool, Gymnasium, Club House, Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Sports Facility, Jogging Track"
null,910,2 BHK Apartment,63000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Hospital, School, Shopping Mall, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens, Sports Facility"
null,1250,2 BHK Apartment,125000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","ATM, Lift(s), Car Parking, Hospital, Jogging Track, School, Shopping Mall, Rain Water Harvesting, Cafeteria, Children's play area, Swimming Pool, Gymnasium, Club House, Full Power Backup, 24 X 7 Security, Landscaped Gardens, Sports Facility"
null,885,2 BHK Apartment,69000 ,Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","ATM, Lift(s), Jogging Track, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Hospital, School, Shopping Mall, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens, Sports Facility"
null,1100,2 BHK Apartment,65000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1550,3 BHK Apartment,125000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Full Power Backup, Multipurpose Room, Lift(s), Rain Water Harvesting, Cafeteria, Maintenance Staff, Jogging Track, 24 X 7 Security, Swimming Pool, Gymnasium, Club House, Children's play area, Landscaped Gardens, Sports Facility"
null,1480,3 BHK Apartment,125000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Maintenance Staff, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Landscaped Gardens"
null,987,2 BHK Apartment,50000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1550,3 BHK Apartment,90000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Club House, Lift(s), Gymnasium, Full Power Backup, Intercom, Sports Facility, Swimming Pool, Car Parking, Vaastu Compliant, Children's play area, 24 X 7 Security, Jogging Track, Landscaped Gardens"
null,977,2 BHK Apartment,70000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,650,1 BHK Apartment,43000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1400,3 BHK Apartment,125000 ,Furnished,No Deposit,3 bathrooms,"Powai, Mumbai","Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Staff Quarter, Rain Water Harvesting, Intercom, Maintenance Staff, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House, Jogging Track, Children's play area, Landscaped Gardens"
null,1367,3 BHK Apartment,85000 ,Semi-Furnished,No Deposit,3 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1600,3 BHK Apartment,85000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Club House, Lift(s), Swimming Pool, Car Parking, Children's play area, Full Power Backup, 24 X 7 Security, Gymnasium, Sports Facility, Jogging Track, Landscaped Gardens"
null,1150,2 BHK Apartment,85000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","ATM, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Maintenance Staff, Club House, Intercom, Swimming Pool, Multipurpose Room, Rain Water Harvesting, Cafeteria, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens, Sports Facility"
null,1150,2 BHK Apartment,78000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Jogging Track, ATM, Intercom, Lift(s), Golf Course, Full Power Backup, Rain Water Harvesting, Children's play area, Staff Quarter, Club House, Multipurpose Room, Swimming Pool, Indoor Games, Hospital, School, Shopping Mall, Car Parking, Sports Facility, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
null,1500,3 BHK Apartment,96000 ,Semi-Furnished,No Deposit,2 bathrooms,"Powai, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Club House, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
null,1350,3 BHK Apartment,65000 ,Semi-Furnished,No Deposit,3 bathrooms,"Mulund West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,999,3 BHK Apartment,60000 ,Semi-Furnished,No Deposit,2 bathrooms,"Mulund West, Mumbai","Swimming Pool, Landscaped Gardens, Sports Facility, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Club House, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking"
NorthEast facing,600,1 BHK Apartment,40000 ,Unfurnished,No Deposit,2 bathrooms,"Ghatkopar East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
West facing,1081,2 BHK Apartment,90000 ,Semi-Furnished,No Deposit,2 bathrooms,"Ghatkopar West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,800,2 BHK Apartment,28500 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Sports Facility, ATM, Jogging Track, Lift(s), Intercom, Full Power Backup, Rain Water Harvesting, Children's play area, Multipurpose Room, Club House, Swimming Pool, Hospital, School, Shopping Mall, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Landscaped Gardens"
West facing,850,2 BHK Apartment,38000 ,Unfurnished,No Deposit,2 bathrooms,"Bhandup West, Mumbai","Intercom, Full Power Backup, Lift(s), Children's play area, Club House, Landscaped Gardens, Swimming Pool, Sports Facility, Jogging Track, 24 X 7 Security, Gymnasium"
East facing,650,1 BHK Apartment,13000 ,Furnished,No Deposit,3 bathrooms,"kasaradavali thane west, Mumbai",
East facing,700,1 BHK Apartment,15000 ,Semi-Furnished,No Deposit,2 bathrooms,"Dombivali, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Cafeteria, Jogging Track, Indoor Games, 24 X 7 Security, Car Parking, Gymnasium, Club House, Children's play area, Full Power Backup, Landscaped Gardens, Sports Facility"
null,650,2 BHK Apartment,70000 ,Furnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,750,2 BHK Apartment,80000 ,Furnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,550,2 BHK Apartment,90000 ,Furnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Maintenance Staff, Jogging Track, Full Power Backup, Children's play area, 24 X 7 Security, Gymnasium, Swimming Pool, Sports Facility, Club House, Lift(s), Landscaped Gardens"
null,1200,3 BHK Apartment,125000 ,Semi-Furnished,3.5 L deposit,3 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1050,3 BHK Apartment,125000 ,Semi-Furnished,No Deposit,3 bathrooms,"Santacruz East, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Car Parking, Gymnasium, Club House, Children's play area, Full Power Backup, Landscaped Gardens, 24 X 7 Security, Sports Facility"
null,450,1 BHK Apartment,45000 ,Semi-Furnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,450,1 BHK Apartment,18000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,550,2 BHK Apartment,90000 ,Furnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Maintenance Staff, Jogging Track, Full Power Backup, Children's play area, 24 X 7 Security, Gymnasium, Swimming Pool, Sports Facility, Club House, Lift(s), Landscaped Gardens"
null,650,2 BHK Apartment,55000 ,Unfurnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1050,3 BHK Apartment,125000 ,Semi-Furnished,No Deposit,3 bathrooms,"Santacruz East, Mumbai","Swimming Pool, Lift(s), Rain Water Harvesting, Intercom, Jogging Track, Indoor Games, Car Parking, Gymnasium, Club House, Children's play area, Full Power Backup, Landscaped Gardens, 24 X 7 Security, Sports Facility"
null,800,2 BHK Apartment,100000 ,Furnished,No Deposit,2 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1200,3 BHK Apartment,125000 ,Semi-Furnished,3.5 L deposit,3 bathrooms,"Santacruz East, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1240,2 BHK Apartment,30000 ,Semi-Furnished,1.2 L deposit,2 bathrooms,"Ulwe, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Sports Facility"
null,1210,2 BHK Apartment,32000 ,Semi-Furnished,1.2 L deposit,2 bathrooms,"Ulwe, Mumbai","Gymnasium, Car Parking, Children's play area, Lift(s), Landscaped Gardens, Full Power Backup, 24 X 7 Security, Swimming Pool, Sports Facility, Jogging Track, Club House"
null,1750,3 BHK Apartment,42000 ,Furnished,1.3 L deposit,3 bathrooms,"Ulwe, Mumbai","Gymnasium, Rain Water Harvesting, Car Parking, Lift(s), 24 X 7 Security, Intercom, Maintenance Staff, Jogging Track, Indoor Games, Children's play area, Full Power Backup, Club House, Vaastu Compliant, Sports Facility, Landscaped Gardens, Swimming Pool"
null,1310,2 BHK Apartment,30000 ,Furnished,1.2 L deposit,2 bathrooms,"Ulwe, Mumbai","Gymnasium, Rain Water Harvesting, Car Parking, Lift(s), 24 X 7 Security, Intercom, Maintenance Staff, Jogging Track, Indoor Games, Children's play area, Full Power Backup, Club House, Vaastu Compliant, Sports Facility, Landscaped Gardens, Swimming Pool"
null,1340,2 BHK Apartment,31000 ,Semi-Furnished,"85,000 deposit",2 bathrooms,"Ulwe, Mumbai","Jogging Track, Gymnasium, Car Parking, Full Power Backup, Lift(s), Landscaped Gardens, 24 X 7 Security, Swimming Pool, Sports Facility, Children's play area, Club House"
null,1110,2 BHK Apartment,22000 ,Semi-Furnished,"70,000 deposit",2 bathrooms,"Ulwe, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1265,2 BHK Apartment,25000 ,Semi-Furnished,1 L deposit,2 bathrooms,"Ulwe, Mumbai","Swimming Pool, Landscaped Gardens, Lift(s), Full Power Backup, Indoor Games, Children's play area, Jogging Track, Club House, Multipurpose Room, Rain Water Harvesting, Intercom, Maintenance Staff, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Sports Facility"
null,1240,2 BHK Apartment,32000 ,Semi-Furnished,1 L deposit,2 bathrooms,"Ulwe, Mumbai","Sports Facility, Shopping Mall, Indoor Games, Lift(s), Jogging Track, Full Power Backup, Maintenance Staff, Children's play area, Club House, Landscaped Gardens, Multipurpose Room, Staff Quarter, Rain Water Harvesting, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool"
null,271,1 RK Studio Apartment,17000 ,Unfurnished,No Deposit,1 bathrooms,"Powai, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,744,2 BHK Apartment,37000 ,Furnished,No Deposit,1 bathrooms,"Thane West, Mumbai","Jogging Track, ATM, Maintenance Staff, Lift(s), Intercom, Full Power Backup, Cafeteria, Children's play area, Rain Water Harvesting, Club House, Staff Quarter, Swimming Pool, Indoor Games, School, Shopping Mall, Multipurpose Room, Car Parking, Gymnasium, Vaastu Compliant, 24 X 7 Security, Sports Facility, Landscaped Gardens"
null,753,2 BHK Apartment,37000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Landscaped Gardens, Lift(s), Indoor Games, Full Power Backup, Jogging Track, Children's play area, Multipurpose Room, Rain Water Harvesting, Cafeteria, Intercom, Gymnasium, Vaastu Compliant, 24 X 7 Security, Car Parking, Swimming Pool, Maintenance Staff, Club House, Sports Facility"
North facing,845,2 BHK Apartment,15000 ,Unfurnished,No Deposit,2 bathrooms,"Dombivali, Mumbai","Car Parking, Full Power Backup, Lift(s), 24 X 7 Security, Children's play area, Landscaped Gardens, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Club House"
null,1650,3 BHK Apartment,165000 ,Furnished,No Deposit,3 bathrooms,"Prabhadevi, Mumbai","Swimming Pool, Lift(s), Sports Facility, Full Power Backup, Indoor Games, Children's play area, Staff Quarter, Rain Water Harvesting, Intercom, Jogging Track, Vaastu Compliant, 24 X 7 Security, Car Parking, Gymnasium, Club House, Landscaped Gardens"
null,1150,2 BHK Apartment,17500 ,Semi-Furnished,"52,500 deposit",2 bathrooms,"Thane West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
null,1250,2 BHK Apartment,15000 ,Semi-Furnished,"45,000 deposit",2 bathrooms,"Thane West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,700,1 BHK Apartment,20000 ,Furnished,No Deposit,1 bathrooms,"Thane West, Mumbai","Intercom, Sports Facility, Full Power Backup, Club House, Children's play area, Lift(s), Swimming Pool, 24 X 7 Security, Jogging Track, Landscaped Gardens, Gymnasium"
null,1100,2 BHK Apartment,30000 ,Semi-Furnished,No Deposit,2 bathrooms,"Ambernath West, Mumbai","Lift(s), Full Power Backup, 24 X 7 Security, Children's play area, Club House, Gymnasium, Swimming Pool, Sports Facility, Jogging Track, Landscaped Gardens"
East facing,1500,3 BHK Apartment,35000 ,Semi-Furnished,No Deposit,2 bathrooms,"Santacruz West, Mumbai","Gymnasium, Lift(s), Intercom, Sports Facility, Full Power Backup, Children's play area, 24 X 7 Security, Club House, Swimming Pool, Jogging Track, Landscaped Gardens"
East facing,835,2 BHK Apartment,28000 ,Semi-Furnished,No Deposit,2 bathrooms,"Thane West, Mumbai","Intercom, Full Power Backup, Club House, 24 X 7 Security, Gymnasium, Children's play area, Swimming Pool, Sports Facility, Jogging Track, Lift(s), Landscaped Gardens"
